,name,count,file
1,AcDbLine,174,Узел Гофрирования.dwg
2,AcDbText,96,Узел Гофрирования.dwg
7,AcDbCircle,44,Узел Гофрирования.dwg
4,AcDbPolyline,26,Узел Гофрирования.dwg
6,AcDbHatch,19,Узел Гофрирования.dwg
5,AcDbMText,7,Узел Гофрирования.dwg
8,AcDbArc,3,Узел Гофрирования.dwg
3,AcDbBlockReference,2,Узел Гофрирования.dwg
9,AcDbEllipse,2,Узел Гофрирования.dwg
0,AcDbViewport,1,Узел Гофрирования.dwg
4,AcDbLine,41,Узел Гофрирования.dwg
2,AcDbText,27,Узел Гофрирования.dwg
6,AcDbCircle,15,Узел Гофрирования.dwg
3,AcDbMText,7,Узел Гофрирования.dwg
8,AcDbPolyline,2,Узел Гофрирования.dwg
0,AcDbViewport,1,Узел Гофрирования.dwg
1,AcDbBlockReference,1,Узел Гофрирования.dwg
5,AcDbHatch,1,Узел Гофрирования.dwg
7,AcDbArc,1,Узел Гофрирования.dwg
